representation,method,leakage_rate,utility_recall,safe_context_recall,over_filter_rate,answer_leakage_rate,num_queries
Local LSA,GoodForget-RAG,0.5,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.5,6
Local LSA,Vanilla RAG,1.0,0.4166666666666667,0.4166666666666667,0.5833333333333334,1.0,6
TF-IDF,GoodForget-RAG,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.3333333333333333,6
TF-IDF,Vanilla RAG,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333333333333334,6
