method,leakage_rate,utility_recall,safe_context_recall,over_filter_rate,forbidden_removal_precision,empty_context_rate,answer_leakage_rate,num_queries
Vanilla RAG,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.0,0.8333333333333334,6
Positive-only RAG,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.0,0.3333333333333333,6
Query Rewrite RAG,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.0,0.3333333333333333,6
Keyword Blocklist,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0,0.0,0.3333333333333333,6
Metadata Filter,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0,0.0,0.0,6
GoodForget-RAG,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.0,0.3333333333333333,6
