method,leakage_rate,utility_recall,safe_context_recall,over_filter_rate,forbidden_removal_precision,empty_context_rate,answer_leakage_rate,num_queries
Vanilla RAG,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.0,0.8333333333333334,6
Oracle GoodForget-RAG,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.0,0.3333333333333333,6
Heuristic GoodForget-RAG,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.0,0.3333333333333333,6
