method,representation,leakage_rate,answer_leakage_rate_proxy,utility_recall,safe_context_recall,over_filter_rate,forbidden_removal_precision,forbidden_removal_recall,leakage_utility_tradeoff_score,context_purity,context_sufficiency,false_suppression_rate,rank_of_first_forbidden_before,rank_of_first_forbidden_after,num_queries
GoodForget-RAG,hybrid,0.0,0.0,0.125,0.125,0.875,0.0,0.0,-0.3125,1.0,0.25,0.0,2.7708333333333335,17.0625,48
GoodForget-RAG,lsa,0.0,0.0,0.14583333333333334,0.14583333333333334,0.8541666666666666,0.0,0.0,-0.28125,1.0,0.2916666666666667,0.0,1.4791666666666667,16.416666666666668,48
GoodForget-RAG,tfidf_char,0.0,0.0,0.125,0.125,0.875,0.0,0.0,-0.3125,1.0,0.25,0.0,2.5208333333333335,17.979166666666668,48
GoodForget-RAG,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,13.75,48
Negative Vector Baseline,hybrid,0.0,0.0,0.23958333333333334,0.23958333333333334,0.7604166666666666,0.0,0.0,-0.140625,1.0,0.4791666666666667,0.0,2.7708333333333335,11.833333333333334,48
Negative Vector Baseline,lsa,0.0,0.0,0.09375,0.09375,0.90625,0.0,0.0,-0.359375,1.0,0.1875,0.0,1.4791666666666667,12.0,48
Negative Vector Baseline,tfidf_char,0.0,0.0,0.23958333333333334,0.23958333333333334,0.7604166666666666,0.0,0.0,-0.140625,1.0,0.4791666666666667,0.0,2.5208333333333335,13.5,48
Negative Vector Baseline,tfidf_word,0.0,0.0,0.3645833333333333,0.3645833333333333,0.6354166666666666,0.0,0.0,0.046875,1.0,0.7291666666666666,0.0,3.3333333333333335,10.25,48
